Model,Accuracy,F1_Weighted,CV_Acc_Mean
Logistic Regression,0.7008547008547008,0.7021813466740761,0.7282051282051283
Support Vector Machine (RBF),0.7094017094017094,0.7099577757741135,0.7478632478632479
Decision Tree,0.7521367521367521,0.7509402591445935,0.7726495726495726
Random Forest,0.8205128205128205,0.8214899032846358,0.8435897435897436
Gradient Boosting,0.7991452991452992,0.8005255470017257,0.8111111111111111
